f,1,tmobile.internet.lab,,
f,1,sipcf002.apn001.lab,,5
f,1,gne,,5
f,1,UPSA1,,
f,4,service,,5
f,1,epc-scpcf000.t-mobile.com,,
f,4,tm1nmrx,,5
f,1,wap.tracfone,,
t,2,internet2.voicestream.com,,
t,1,devopw.t-mobile.com,,
f,1,locate.t-mobile.com,,
f,4,tmus,,5
f,1,ONBOARD1.t-mobile.com,,
f,1,solavei-depcf000.t-mobile.com,,
f,1,ims.lab,,
f,1,m2m.t-mobile.com,,5
f,1,morganstanley.t-mobile.com,,
f,1,EXTENDED.voicestream.com,,
f,1,a1.diad.ups.com,,5
f,1,good.call (SunCom),,
t,1,tmus.lab,,
f,1,track.t-mobile.com,,
t,4,ims,,5
f,4,a11.diad.ups.com,,
f,4,fast.t-mobile.com,,
f,1,UPSA2,,
f,1,wholesale.lab,,
f,1,tmus,,5
f,1,cidagps.t-mobile.com,,
f,4,multibrand,,
f,1,APNIPV4.TMO.COM,,
t,1,*,,
f,4,test.lte.com,,
f,4,wap.tracfone,,5
f,1,eng.voicestream.com,,5
f,1,follow.t-mobile.com,,5
f,1,ims.epdg.lab,,
f,1,E-Funds,,
f,4,pro.wtdata.com,,5
f,1,dummy2,,
f,1,multibrand,,5
f,1,H2G2-T,,
f,1,Hiptop (SunCom),,
t,1,g1.tmobile.internet,,
f,1,c1.korem2m.com,,5
f,4,AVL,,5
f,1,a2.diad.ups.com,,
f,4,ny2.gtech.com,,5
t,1,mms.t-mobile.com,,
f,1,alert.t-mobile.com,,
t,2,ccatli2.t-mobile.com,,
f,1,fast.t-mobile.com,,
f,4,c2.korem2m.com,,5
t,1,ims,,
f,1,telargo.t-mobile.com,,5
f,1,ccinternet3.t-mobile.com,,
f,1,stgwap.t-mobile.com,,
f,4,eng.voicestream.com,,5
f,1,flexing2.lab,,
t,1,epc.tmobile.com ,,
f,1,test8,,
f,1,labceg.t-mobile.com,,
t,1,*,2,
f,1,ccinternet3.t-mobile.com  ,,
f,1,eng.t-mobile.com,,
f,1,csnqi2.t-mobile.com,,
f,1,tmobile.ineternet,,
f,1,ccatli2@t-mobile.com,,
f,4,epc.TMObile.com,,5
f,1,simple,,5
t,1,devopw.t-mobie.com,,
f,1,pwg,,
f,1,airdesk01.t-mobile.com,,
f,4,m2mGlobal,,5
f,4,avl.t-mobile.com,,5
f,1,epc-nvpcf000.t-mobile.com,,
t,4,tmobile.internet,4,5
f,1,epc-nypcf003.t-mobile.com,,
t,1,lab1.test.com,,
f,1,pcweb-scpcf001.t-mobile.com,,
f,2,ims,,
f,4,EPC.TMOBILE.COM,,5
f,1,tmus.lab,,
f,1,musa.t-mobile.com,,
f,4,epc.tmobile.com,,5
f,4,usps.t-mobile.com,,5
f,4,fast.tmobile.com,,5
f,4,us.vodafone.com,,5
f,1,wholesale,,5
f,4,alert1.t-mobile.com,,5
t,4,fast.t-mobile.com,,5
f,1,ccali2.t-mobile.com,,
f,4,follow.t-mobile.com,,5
f,1,mms.voicestream.com,,5
f,4,engvoicestream.com,,
f,4,eng6.voicestream.com,,
t,1,wholesale.lab,,
f,1,MMS.voicestream.com,,
f,1,mms.voicestream.com,,
t,2,blackberry.net,,
f,1,chapn,,5
